model_id,fc,rm,fold,n_train_pres,n_test_pres,auc_test,omit10_test
fc_lqhp_rm_1,lqhp,1,1,292,73,0.8590616438356165,0.0958904109589041
fc_lqhp_rm_1,lqhp,1,2,292,73,0.8656657534246576,0.0958904109589041
fc_lqhp_rm_1,lqhp,1,3,292,73,0.8622726027397261,0.0684931506849315
fc_lqhp_rm_1,lqhp,1,4,292,73,0.8550739726027398,0.136986301369863
fc_lqhp_rm_1,lqhp,1,5,292,73,0.838372602739726,0.1643835616438356
fc_lqhp_rm_1.5,lqhp,1.5,1,292,73,0.8591232876712329,0.0958904109589041
fc_lqhp_rm_1.5,lqhp,1.5,2,292,73,0.8636739726027397,0.0958904109589041
fc_lqhp_rm_1.5,lqhp,1.5,3,292,73,0.8583972602739726,0.0684931506849315
fc_lqhp_rm_1.5,lqhp,1.5,4,292,73,0.8537493150684932,0.1095890410958904
fc_lqhp_rm_1.5,lqhp,1.5,5,292,73,0.8370931506849315,0.1643835616438356
fc_lqhp_rm_2,lqhp,2,1,292,73,0.8586945205479452,0.0958904109589041
fc_lqhp_rm_2,lqhp,2,2,292,73,0.8629315068493151,0.0958904109589041
fc_lqhp_rm_2,lqhp,2,3,292,73,0.8575561643835616,0.0684931506849315
fc_lqhp_rm_2,lqhp,2,4,292,73,0.8534657534246576,0.0958904109589041
fc_lqhp_rm_2,lqhp,2,5,292,73,0.8359397260273973,0.1643835616438356
fc_lqhp_rm_3,lqhp,3,1,292,73,0.8571479452054794,0.0958904109589041
fc_lqhp_rm_3,lqhp,3,2,292,73,0.861486301369863,0.0958904109589041
fc_lqhp_rm_3,lqhp,3,3,292,73,0.8555041095890411,0.0684931506849315
fc_lqhp_rm_3,lqhp,3,4,292,73,0.8526410958904109,0.0958904109589041
fc_lqhp_rm_3,lqhp,3,5,292,73,0.8335493150684932,0.1780821917808219
