gbifID,scientificName,decimalLatitude,decimalLongitude,year,eventDate
4599844056,Lontra canadensis,32.632131,-97.062859,2024,2024-03-20
4597246214,Lontra canadensis,30.833417,-95.023718,2024,2024-02-22
4596830311,Lontra canadensis,29.518177,-96.611034,2023,2023-08-19
4535992275,Lontra canadensis,30.038942,-95.643663,2023,2023-03-27
4535979794,Lontra canadensis,30.003737,-97.438359,2024,2024-03-03
4535970847,Lontra canadensis,29.844834,-97.292964,2020,2020-08-10
4535722734,Lontra canadensis,30.888732,-97.637206,2024,2024-03-02
4535644765,Lontra canadensis,31.160337,-97.516048,2024,2024-02-02
4528308876,Lontra canadensis,31.142219,-98.419159,2024,2024-02-23
4528085074,Lontra canadensis,32.830582,-96.561066,2024,2024-02-26
4528027945,Lontra canadensis,32.734688,-95.884708,2024,2024-02-22
4528006997,Lontra canadensis,32.583268,-97.971117,2024,2024-02-22
4525312010,Lontra canadensis,32.008149,-98.14794,2024,2024-02-18
4525307526,Lontra canadensis,30.582925,-97.27963,2024,2024-02-17
4525194934,Lontra canadensis,31.58276,-95.378285,2020,2020-11-28
4525166151,Lontra canadensis,32.971099,-98.502551,2024,2024-02-14
4525148553,Lontra canadensis,31.390865,-96.367062,2009,2009-06-19
4525056923,Lontra canadensis,30.581658,-97.364765,2024,2024-02-06
4525053053,Lontra canadensis,29.669345,-95.396943,2024,2024-02-11
4522817084,Lontra canadensis,29.963637,-95.741064,2024,2024-02-10
4522809057,Lontra canadensis,29.997461,-95.736388,2024,2024-02-10
4522764584,Lontra canadensis,29.926847,-97.906146,2024,2024-02-06
4522637348,Lontra canadensis,30.589466,-94.541474,2023,2023-12-05
4519331537,Lontra canadensis,31.343677,-94.367758,2024,2024-01-21
4519267160,Lontra canadensis,33.535996,-96.67317,2024,2024-02-04
4519145374,Lontra canadensis,29.001872,-95.753254,2024,2024-02-01
4518986102,Lontra canadensis,30.838769,-97.769837,2024,2024-01-20
4516888399,Lontra canadensis,30.137567,-97.304248,2024,2024-01-27
4516886473,Lontra canadensis,32.730962,-94.386585,2024,2024-01-27
4516872507,Lontra canadensis,30.907488,-97.799308,2024,2024-01-09
4516720939,Lontra canadensis,30.864689,-97.704332,2024,2024-01-09
4516709405,Lontra canadensis,30.870563,-97.773521,2024,2024-01-08
4516677459,Lontra canadensis,30.107001,-95.823518000000007,2024,2024-01-21
